title,detail,priority,deadline,is_completed
顧客定例MTG（A社）,議事録担当。要望ヒアリング,high,2025-08-25,False
リリース判定会議,テスト結果最終確認,high,2025-08-26,False
見積書提出（B社）,3パターン作成・送付,high,2025-08-27,False
プレゼン資料作成,来週デモ用のスライド下書き,medium,2025-08-28,False
コードレビュー,PR#128〜132 を確認,medium,2025-08-23,False
部内1on1,目標設定と進捗共有,low,2025-08-29,False
請求書発行,8月分3件を送付,medium,2025-08-30,False
採用カジュアル面談,エンジニア候補2名,medium,2025-08-24,False
バグ修正（通知機能）,再現手順あり・小規模,high,2025-08-23,False
契約更新の確認（C社）,条件変更の可否を確認,medium,2025-08-31,False
出張手配（大阪）,交通・宿泊予約,low,2025-09-02,False
週次レポート提出,KPIまとめ,medium,2025-08-25,False
健康診断の予約,会社指定クリニック,low,2025-09-05,False
社内勉強会資料アップ,発表者連絡と資料回収,low,2025-08-27,False
顧客問い合わせ対応,障害報告の一次回答,high,2025-08-22,True
